company,company_id,company_size,country,country_iso3,bundle_id,industry,year,indicator,value,unit_of_measure,sub_code,id
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,72605,Metric tons of CO2-equivalent,305-2-a,21617613
Grupo Arcor SA,5546,Large,Argentina,ARG,28813,Processed Foods,2016,Total weight of waste generated,28012,Metric tons,306-3-a,8725588
Nissui Corp,6127,Large,Japan,JPN,28901,Processed Foods,2016,Water withdrawal breakdown by sources,3938000,m3,303-3-c,8887466
Kellogg Company,4313,Large,United States,USA,19781,Processed Foods,2016,Gross direct (Scope 1) GHG emissions,441700,Metric tons of CO2-equivalent,305-1-a,5931565
Riken Vitamin Co Ltd,21451,Small,Japan,JPN,27781,Processed Foods,2016,Water withdrawal breakdown by sources,464000,m3,303-3-c,10054225
Grupo Arcor SA,5546,Large,Argentina,ARG,28813,Processed Foods,2016,Number of suppliers assessed for environmental impacts,339,number_of_suppliers,308-2-a,29187985
AAK AB (publ),8313,Large,Sweden,SWE,29630,Processed Foods,2016,Reductions in energy requirements of sold products and services,2.33,GJ,302-5-a,9629660
Grupo Bimbo SAB de CV,5894,Large,Mexico,MEX,21342,Processed Foods,2016,Gross location-based energy indirect (Scope 2) GHG emissions,292632,Metric tons of CO2-equivalent,305-2-a,1471282
Nissui Corp,6127,Large,Japan,JPN,28900,Processed Foods,2016,Total weight of waste generated,42563,Metric tons,306-3-a,9904872
Grupo Bimbo SAB de CV,5894,Large,Mexico,MEX,21342,Processed Foods,2016,Total weight of waste generated,296876,Metric tons,306-3-a,1470924
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Total weight of hazardous waste diverted from disposal,404422,Metric tons,306-4-b,5893391
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2016,Water withdrawal from all areas with water stress,8100000,m3,303-3-b,21617489
Associated British Foods PLC,2484,Large,United Kingdom,GBR,18274,Processed Foods,2016,"Total electricity, heating, cooling and steam consumption",40341600,GJ,302-1-c,3417145
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2016,Total weight of waste directed to disposal,46392,Metric tons,306-5-a,9439635
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2016,Water withdrawal breakdown by sources,16200000,m3,303-3-c,21617505
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Total energy consumption within the organization,10114780.04,GJ,302-1-e,5892845
Lantmännen ek för,3305,Medium,Sweden,SWE,28190,Processed Foods,2016,Gross market-based energy indirect (Scope 2) GHG emissions,94700,Metric tons of CO2-equivalent,305-2-b,9401887
Grupo Arcor SA,5546,Large,Argentina,ARG,28813,Processed Foods,2016,Number of suppliers assessed for social impacts,339,number_of_suppliers,414-2-a,29188081
Kellogg Company,4313,Large,United States,USA,19781,Processed Foods,2016,Total weight of waste diverted from disposal,244435,Metric tons,306-4-a,5931061
Lantmännen ek för,3305,Medium,Sweden,SWE,28190,Processed Foods,2016,Water withdrawal from all areas with water stress,1971700,m3,303-3-b,9401950
Campbell Soup Company,2698,Large,United States,USA,18444,Processed Foods,2016,Total weight of waste generated,450814,Metric tons,306-3-a,5893511
The Hershey Company,4436,Large,United States,USA,28567,Processed Foods,2016,Significant air emissions,290.66,Metric tons,305-7-a,20608961
Cloetta AB,3253,Large,Sweden,SWE,18870,Processed Foods,2016,Total energy consumption outside of the organization,648000,GJ,302-2-a,4060016
Nissui Corp,6127,Large,Japan,JPN,28900,Processed Foods,2016,Gross direct (Scope 1) GHG emissions,277081,Metric tons of CO2-equivalent,305-1-a,9904967
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2016,Total fuel consumption from non-renewable sources,7648968.71,GJ,302-1-a,9439308
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2016,Gross market-based energy indirect (Scope 2) GHG emissions,141292,Metric tons of CO2-equivalent,305-2-b,21617501
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2016,Water discharge to all areas,5600000,m3,303-4-a,21617541
Campbell's,3958,Large,United States,USA,28449,Processed Foods,2016,"Total electricity, heating, cooling and steam consumption",10114780.04,GJ,302-1-c,9439585
Daesang Corp,6725,Large,"Korea, Rep.",KOR,22040,Processed Foods,2016,GHG emissions reduced as a direct result of reduction initiatives,5251,Metric tons of CO2-equivalent,305-5-a,1663931
Lantmännen ek för,3305,Medium,Sweden,SWE,28190,Processed Foods,2016,Water withdrawal breakdown by sources,1971700,m3,303-3-c,9401900
Nissui Corp,6127,Large,Japan,JPN,28901,Processed Foods,2016,Water withdrawal from all areas,3938000,m3,303-3-a,8886924
Associated British Foods PLC,2484,Large,United Kingdom,GBR,18275,Processed Foods,2016,Total weight or volume of materials used in produced and packaged products,248000,Metric tons,301-1-a,28718876
Nissui Corp,6127,Large,Japan,JPN,28900,Processed Foods,2016,Total weight of waste diverted from disposal,38517,Metric tons,306-4-a,9904428
Grupo Arcor SA,5546,Large,Argentina,ARG,57766,Processed Foods,2016,Water consumption from all areas,2016,m3,303-5-a,27290148
Orkla ASA,4970,Large,Norway,NOR,20637,Processed Foods,2016,Significant air emissions,120,Metric tons,305-7-a,20574372
